XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1719745,33590000;5954012,74320000;34;KUG Institut 2 Klavier;Brandhofgasse 21/III;8010;Graz;+43(0)316/389-3020;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,073093;15,448735
1721344,84650000;5951564,84340000;35;TU-Graz, Institute der Fakultät für Maschinenbau und Wirtschaftswissen;Inffeldgasse 21a;8010;Graz;+43(0)316/873-7201;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058113;15,463104
1719909,80370000;5953411,46870000;36;TU-Graz, Institute der Fakultät für Bauingenieurwissenschaften;Rechbauerstraße 12/II;8010;Graz;+43(0)316/873-6221;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,069412;15,450212
1720357,91370000;5954447,18730000;37;Uni-Graz, Institut für Soziologie, Frauen- und Geschlechterforschung;Strassoldogasse 10;8010;Graz;+43(0)316/380-7088;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,075748;15,454238
1719653,25210000;5952743,78360000;38;TU-Graz, Institute der Fakultät für Technische Mathematik u. Technische Physik;Münzgrabenstraße 11;8010;Graz;+43(0)316/873-6475;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065327;15,447908
1720329,95300000;5952676,04390000;39;TU-Graz, Fakultät für Technische Chemie, Verfahrenstechnik u. Biotechnologie;Petersgasse 16;8010;Graz;+43(0)316/873-0;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,064915;15,453987
1720722,12930000;5953629,50950000;40;Uni-Graz, Institute der Fakultät für Regional- u. Bildungswissenschaften;Merangasse 70;8010;Graz;+43(0)316/380-2535;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,070747;15,457510
1719830,06960000;5954759,65490000;41;Uni-Graz, Fakultät der Naturwissenschaften;Universitätsplatz 3;8010;Graz;+43(0)316/380-5000;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,077663;15,449496
1715333,09120000;5953295,80700000;42;FH Joanneum, Architektur und Projektmanagement;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8200;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068707;15,409100
1719872,93330000;5953874,24960000;43;KUG Institut 15 Alte Musik und Aufführungspraxis;Leonhardstraße 15/Palais Meran;8010;Graz;+43(0)316/389-3150;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,072247;15,449882
1719991,57170000;5955615,01900000;44;Uni-Graz, HPR, Zentrum für Bewegungswissenschaften u. sportmedizinische Forschung;Max-Mell-Allee ?;8010;Graz;+43(0)316/380-3900;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,082893;15,450947
1715369,32350000;5953252,28300000;45;FH Technopark;Alte Poststraße 156;8020;Graz;-;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068439;15,409425
1718096,30920000;5955573,78500000;46;Päd. Hochschule Stmk.;Hasnerplatz 12;8010;Graz;+43(0)316/8067-1601;Universitäten, Hoch- & Fachhochschulen;Pädagogische Hochschule;Stadt Graz - Stadtvermessung;47,082642;15,433922
1715409,72490000;5953365,33810000;47;FH Joanneum, Fahrzeugtechnik;Alte Poststraße 149;8020;Graz;+43(0)316/5453-8400;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069130;15,409788
1715409,72490000;5953365,33810000;48;FH Joanneum, Industrial Design;Alte Poststraße 149;8020;Graz;+43(0)316/5453-8100;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069130;15,409788
1721344,84650000;5951564,84340000;49;TU-Graz, Institut für Prozess- und Partikeltechnik;Inffeldgasse 21a;8010;Graz;+43(0)316/873-7464;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058113;15,463104
1720885,68930000;5951684,34430000;50;TU-Graz, Fakultät für Informatik, IAIK;Inffeldgasse 16a;8010;Graz;+43(0)316/873-5514;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058846;15,458980
1719870,83840000;5953885,10690000;51;KUG Institut 16 Jazzforschung;Leonhardstraße 15/Palais Meran II;8010;Graz;+43(0)316/389-3160;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,072311;15,449862
1720879,83510000;5954385,00510000;52;KUG Institut 7 Gesang, Lied, Oratorium;Leonhardstraße 82-84;8010;Graz;+43/(0)316/389-3070;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,075371;15,458926
1719938,84790000;5953874,51460000;53;KUG Institut 9 Schauspiel;Leonhardstraße 19/(TIP);8010;Graz;+43(0)316/389-3090/3093;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,072247;15,450474
1719559,58680000;5954924,61080000;54;Uni-Graz, Forschungsstelle Österr.Deutsch;Heinrichstraße 22/II;8010;Graz;+43(0)316/380-2535;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,078671;15,447066
1719495,01870000;5955227,10370000;55;Uni-Graz, Institut für Sportwissenschaften;Mozartgasse 14/I;8010;Graz;+43(0)316/380-2325;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,080521;15,446486
1720189,20390000;5954194,94290000;56;Uni-Graz, Institut für Systemwissenschaften;Merangasse 18/I;8010;Graz;+43(0)316/380-3238;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,074207;15,452723
1719606,37420000;5954673,43690000;57;MED Institut für Anatomie;Harrachgasse 21;8010;Graz;+43(0)316/380-4210;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077133;15,447487
1719646,12240000;5954698,76160000;58;MED Institut für Physiologische Chemie;Harrachgasse 21/II;8010;Graz;+43(0)316/380-4161;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077290;15,447844
1720460,90360000;5951886,52220000;59;KUG Institut 8 Jazz;Moserhofgasse 39-41;8010;Graz;+43(316)389-3080;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,060081;15,455163
1720879,83510000;5954385,00510000;60;KUG Institut 11 Bühnengestaltung;Leonhardstraße 82-84;8010;Graz;-;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,075371;15,458926
1718517,80880000;5953690,62370000;61;KUG Institut 12 Oberschützen;Hauptplatz 8;8010;Graz;03353/6693-3123 ;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,071121;15,437708
1720295,56340000;5952546,80830000;62;TU-Graz, Institut der Fakultät für Technische Mathmatik u. Technische Physik;Steyrergasse 17;8010;Graz;+43(0)316/873-8320;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,064121;15,453678
1719968,81680000;5954941,35870000;63;Uni-Graz, Fakultät der Rechtswissenschaften;Universitätsstraße 15;8010;Graz;+43(0)316/380-3160;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,078773;15,450743
1720902,75810000;5951657,30450000;64;TU-Graz, Institute der Fakultät für Elektro- u. Informationstechnik;Inffeldgasse 16;8010;Graz;+43(0)316/873-6401;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058678;15,459132
1719977,43960000;5952712,65060000;65;TU-Graz, Institute der Fakultät für Elektrotechnik und Informationstechnik;Kopernikusgasse 24;8010;Graz;+43(0)316/873-7251;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065136;15,450820
1719626,69930000;5954686,44670000;66;MED Institut fuer Biophysik;Harrachgasse 21/IV;8010;Graz;+43(0)316/380-4135;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077213;15,447669
1719649,19310000;5954728,91670000;67;MED Institut fuer Physiologie;Harrachgasse 21/V;8010;Graz;+43(0)316/380-4260;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077473;15,447871
1719618,25560000;5954708,94040000;68;MED Institut für Zellbiologie, Histologie und Embryologie;Harrachgasse 21/7;8010;Graz;+43(0)316/380-4230;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077351;15,447594
1719813,39020000;5954785,35680000;69;Uni-Graz, Fakultät der Geisteswissenschaften;Universitätsplatz 3;8010;Graz;+43(0)316/380-8015;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,077820;15,449347
1715327,79180000;5953338,98290000;70;FH Joanneum, Media and Interaction Design;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8628;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068970;15,409052
1718515,42140000;5955458,95830000;71;Kirchlich (kath.) Pädagogische Hochschule;Lange Gasse 2;8010;Graz;+43(0)316/581670;Universitäten, Hoch- & Fachhochschulen;Pädagogische Hochschule;Stadt Graz - Stadtvermessung;47,081940;15,437687
1720902,75810000;5951657,30450000;72;TU-Graz, Fakultät für Informatik, ICG;Inffeldgasse 16;8010;Graz;+43(0)316/873-5011;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058678;15,459132
1715113,09350000;5953437,78720000;73;FH Joanneum, Produktionstechnik u. Organisation;Eggenberger Allee 11;8020;Graz;+43(0)316/5453-6900;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069576;15,407123
1720731,57210000;5953613,94290000;74;Uni-Graz, Institut für Schulpädagogik;Merangasse 70/II;8010;Graz;+43(0)316/380-2553;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,070652;15,457595
1722320,82310000;5957019,47640000;75;MED Institut für Biomedizinische ForschungInstitut für Biomedizinische Forschung;Roseggerweg 48;8036;Graz;+43(0)316/385-12524 ;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,091484;15,471871
1719757,16210000;5954017,54120000;76;KUG Institut 3 Saiteninstrumente;Brandhofgasse 21/III;8010;Graz;+43(0)316/389-3030;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,073120;15,448841
1720194,68350000;5954209,31880000;77;Uni-Graz, Fakultät der Umwelt-Regional- u.Bildungswissenschaften;Merangasse 18;8010;Graz;+43(0)316/380-8020;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,074295;15,452772
1720221,32740000;5952707,16560000;78;TU-Graz, Institute der Fakultät für Elektro- u. Informationstechnik;Petersgasse 14;8010;Graz;+43(0)316/873-5332;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065105;15,453012
1721038,08700000;5951646,60640000;79;KUG Institut 17 Elektronische Musik und Akustik;Inffeldgasse 10/III;8010;Graz;+43(0)316-389-3170;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,058613;15,460348
1721466,51610000;5955434,81470000;80;MED Institut für Pathologie;Auenbruggerplatz 25;8036;Graz;+43(0)316380-4400;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,081791;15,464197
1719828,46780000;5955008,29400000;81;MED Institut für Sozialmedizin und Epidemiologie;Universitätsstraße 6/I;8010;Graz;+43(0)316/380-4398;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,079182;15,449482
1720806,37450000;5951602,27420000;82;TU-Graz, Fakultät für Informatik, IGI, IST;Inffeldgasse 16b;8010;Graz;+43(0)316/873-5811;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058342;15,458266
1719719,47570000;5954998,32370000;83;Uni-Graz, Institut für Geographie u. Raumforschung;Heinrichstraße 36;8010;Graz;+43(0)316/380-5135;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,079121;15,448503
1715085,48090000;5953475,08830000;84;FH Joanneum, Hebammen;Eggenberger Allee 13;8020;Graz ;+43(0)316/5453-6600;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069801;15,406875
1715315,40150000;5953293,19460000;85;FH Joanneum, Informationsdesign;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8600;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068691;15,408940
1715345,95480000;5953342,08140000;86;FH Joanneum, Baumanagement und Ingenieurbau;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8200;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068989;15,409215
1715354,10470000;5953300,86090000;87;FH Joanneum, Bauplanung und Bauwirtschaft;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8200;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068737;15,409288
1719762,83710000;5954002,92460000;88;KUG Institut 1 Komposition, Musiktheorie, Musikgeschichte und Dirigieren;Brandhofgasse 21;8010;Graz;+43(0)316/389-3010;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,073032;15,448893
1719859,87010000;5954714,04100000;89;Uni-Graz, Fakultät der Katholischen-Theologie;Universitätsplatz 3;8010;Graz;+43(0)316/380-3150;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,077381;15,449764
1719750,67250000;5953997,60470000;90;KUG Institut 4 Blas- und Schlaginstrumente;Brandhofgasse 21/I;8010;Graz;+43(0)316/389-3040;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,072998;15,448783
1720879,83510000;5954385,00510000;91;KUG Institut 5 Musikpädagogik;Leonhardstraße 82-84;8010;Graz;+43/(0)316/389-3050;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,075371;15,458926
1719013,05300000;5953724,01600000;92;KUG Institut 6 Kirchenmusik und Orgel;Bürgergasse 3/I;8010;Graz;+43(0)316/389-3060;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,071327;15,442157
1720302,73660000;5955353,48460000;93;Uni-Graz, Institute der Fakultät für Katholische Theologie;Heinrichstraße 78;8010;Graz;+43(0)316/380-6320;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,081295;15,453742
1715090,79730000;5953438,48250000;94;FH Joanneum, Management internat. Geschäftsproz.;Eggenberger Allee 11;8020;Graz;+43(0)316/5453-6800;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069580;15,406922
1714972,49690000;5953439,47450000;95;FH Joanneum, Health Care Engineering;Eggenberger Allee 11 ;8020;Graz ;+43(0)316/5453-6500;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069584;15,405860
1715409,72490000;5953365,33810000;96;FH Joanneum, Luftfahrt/Aviation;Alte Poststraße 149;8020;Graz;+43(0)316/5453-6400;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069130;15,409788
1719602,22610000;5954698,26150000;97;MED Institut für Molekularbiologie und Biochemie;Harrachgasse 21;8010;Graz;+43(0)316/380-4200 (4202);Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077286;15,447450
1721748,54800000;5955077,37560000;98;MED Institut für Medizinische Informatik, Statistik und Dokumentation;Auenbruggerplatz 2;8036;Graz; +43(0)316/385-13201;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,079605;15,466730
1720937,41000000;5951571,85730000;99;TU-Graz, Institute der Fakultät für Elektro- u. Informationstechnik;Inffeldgasse 18;8010;Graz;+43(0)316/873-7241;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058155;15,459444
1720968,22350000;5951683,23010000;100;TU-Graz, Institute der Fakultät für Elektro- u. Informationstechnik;Inffeldgasse 12;8010;Graz;+43(0)316/873-7521;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,058838;15,459721
1720227,79010000;5952545,94260000;101;TU-Graz, Institute der Fakultät für Technische Mathematik u. Technische Physik;Steyrergasse 30;8010;Graz;+43(0)316/873-7121;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,064117;15,453069
1720227,79010000;5952545,94260000;102;TU-Graz, Institut für Geoinformation;Steyrergasse 30;8010;Graz;+43(0)316/873-6346;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,064117;15,453069
1719987,06900000;5952710,40480000;103;TU-Graz, Institut für Geometrie;Kopernikusgasse 24;8010;Graz;+43(0)316/873-8441;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065125;15,450907
